,AbsBrC370
2018-01-01,1.5939064880185985
2018-01-02,5.146090084043463
2018-01-03,2.802162466336801
2018-01-04,5.252918464420333
2018-01-05,3.282394803066973
2018-01-06,1.884532806596683
2018-01-07,1.7603893846578431
2018-01-08,2.941435785788452
2018-01-09,2.651771489926724
2018-01-10,7.484526859453249
2018-01-11,11.706712706200495
2018-01-12,13.55431531538277
2018-01-13,7.549599984825191
2018-01-14,5.855522911197547
2018-01-15,7.039602336957003
2018-01-16,1.8989308255205037
2018-01-17,1.2423995209191614
2018-01-18,2.9549228588656704
2018-01-19,5.637095504705724
2018-01-20,3.750310532349179
2018-01-21,4.457534456655884
2018-01-22,4.745483588867664
2018-01-23,7.976292825196724
2018-01-24,5.877602980813415
2018-01-25,1.2237631730275578
2018-01-26,3.0853299128088265
2018-01-27,5.995012259078353
2018-01-28,11.06793436530819
2018-01-29,8.38182543571942
2018-01-30,10.979729328507116
2018-01-31,6.794970760544463
2018-02-01,3.381997523782082
2018-02-02,3.7465756464316273
2018-02-03,2.386101631478623
2018-02-04,5.250078838491831
2018-02-05,3.030007928431085
2018-02-06,6.32872267643144
2018-02-07,8.541017474496906
2018-02-08,13.671934249164819
2018-02-09,12.525739812293546
2018-02-10,3.8359736072657413
2018-02-11,6.935654506690263
2018-02-12,3.8611270287715067
2018-02-13,5.86484892254256
2018-02-14,5.267368139840368
2018-02-15,7.079741310829434
2018-02-16,6.0185773745962665
2018-02-17,1.9352393394822813
2018-02-18,3.0154034529442972
2018-02-19,8.00456489534282
2018-02-20,8.77947199653323
2018-02-21,8.835508476533601
2018-02-22,14.186477585163534
2018-02-23,13.294815964104977
2018-02-24,10.782575579579623
2018-02-25,6.70471523746997
2018-02-26,6.4148321221609335
2018-02-27,8.029206640417891
2018-02-28,3.4068457860161576
2018-03-01,4.023176698143234
2018-03-02,2.7111751199401115
2018-03-03,2.7143530665364772
2018-03-04,1.452978150491315
2018-03-05,3.4127599986834745
2018-03-06,4.461045605423457
2018-03-07,2.495487826479648
2018-03-08,3.3163015871893795
2018-03-09,1.0818053866395885
2018-03-10,0.8177134589494902
2018-03-11,1.0076675949364093
2018-03-12,1.2595969588338962
2018-03-13,2.5591709730083214
2018-03-14,5.029767206833082
2018-03-15,1.4048189489679805
2018-03-16,5.804326141919352
2018-03-17,2.8972991341650434
2018-03-18,3.5416145652331106
2018-03-19,5.65421462938766
2018-03-20,7.481003882822509
2018-03-21,4.337390756597169
2018-03-22,5.205000644404423
2018-03-23,3.845231769231543
2018-03-24,2.8092131919010894
2018-03-25,10.02253083408795
2018-03-26,15.638433890494936
2018-03-27,4.121977653959225
2018-03-28,5.656563240800199
2018-03-29,2.723142874856699
2018-03-30,1.7363310609592417
2018-03-31,1.8300851250128531
2018-04-01,1.5413351144061673
2018-04-02,1.6641423252922154
2018-04-03,1.5563191541943775
2018-04-04,1.4944749186579407
2018-04-05,3.660221017622697
2018-04-06,4.630996011523688
2018-04-07,3.905039802636263
2018-04-08,2.8919681343049564
2018-04-09,2.0709432555761333
2018-04-10,0.6111446097456453
2018-04-11,0.8706755950236847
2018-04-12,0.9747029807529778
2018-04-13,1.8214960877559234
2018-04-14,2.2533310907063595
2018-04-15,6.481367466945011
2018-04-16,6.276357225536081
2018-04-17,10.149710157634377
2018-04-18,8.648224676040762
2018-04-19,6.313219301875006
2018-04-20,7.104003914687785
2018-04-21,6.438240633712755
2018-04-22,5.6645557644866615
2018-04-23,4.853013744200838
2018-04-24,11.148785618828592
2018-04-25,4.7578550153827255
2018-04-26,4.352050000613009
2018-04-27,4.946725924854113
2018-04-28,3.6148696197877777
2018-04-29,1.3772567936577944
2018-04-30,1.4201936845120697
2018-05-01,2.341976844395379
2018-05-02,3.998995183439197
2018-05-03,2.633994551333991
2018-05-04,3.818914787952892
2018-05-05,2.9763380733240328
2018-05-06,4.123620170850077
2018-05-07,3.734802364715447
2018-05-08,4.86137567023029
2018-05-09,3.9644572787328083
2018-05-10,3.410614725404785
2018-05-11,2.7458635270764273
2018-05-12,1.130723354966311
2018-05-13,0.7058401867209396
2018-05-14,1.8474397761454187
2018-05-15,4.27748906687571
2018-05-16,4.055621310806051
2018-05-17,2.6294294864657166
2018-05-18,2.2154500450647157
2018-05-19,4.457733232974492
2018-05-20,4.988329041161592
2018-05-21,4.470642331819543
2018-05-22,2.5861732952674745
2018-05-23,1.7376352328703324
2018-05-24,2.597832558322857
2018-05-25,4.72965310612084
2018-05-26,3.7507148958168672
2018-05-27,3.585077576359021
2018-05-28,1.741945465688184
2018-05-29,3.1223376583329943
2018-05-30,3.1914366436998063
2018-05-31,1.235853807518736
2018-06-01,1.8705444189409335
2018-06-02,1.6494045630809335
2018-06-03,1.8721868419289873
2018-06-04,1.2075852495386497
2018-06-05,1.466547796879042
2018-06-06,1.0113276568829646
2018-06-07,1.057600285308256
2018-06-08,2.9709773310202556
2018-06-09,0.9681452026501958
2018-06-10,1.551937938496201
2018-06-11,0.8397836079715272
2018-06-12,1.7691183960460477
2018-06-13,1.4833076867982844
2018-06-14,2.465205987608976
2018-06-15,2.285165345278445
2018-06-16,2.4229555135699945
2018-06-17,2.0738824464763557
2018-06-18,1.8079095553486952
2018-06-19,2.8583907087876894
2018-06-20,3.349595428506211
2018-06-21,3.4576784239868843
2018-06-22,1.6938542414117361
2018-06-23,2.0786226624029065
2018-06-24,1.6610353012592831
2018-06-25,2.0445570046013413
2018-06-26,1.7719766378704886
2018-06-27,1.006675474895709
2018-06-28,1.7681574744738413
2018-06-29,1.9914706018457402
