RI_name,ri_values
poagfs,0.0755
soagfs,0.0049
poares,0.0755
soares,0.0299
poashp,0.0383
soashp,0.0049
poatrf,0.0354
soatrf,0.0011
poaoth,0.0354
soaoth,0.0141
