RI_name,ri_values
poagfs,0.0003
soagfs,0.0002
poares,0.0306
soares,0.0303
poashp,0.2595
soashp,0.2594
poatrf,0.0973
soatrf,0.0072
poaoth,0.0052
soaoth,0.0003
