RI_name,ri_values
poagfs,0.4316
soagfs,0.2626
poares,0.0196
soares,0.0185
poashp,0.0003
soashp,0.0002
poatrf,0.0429
soatrf,0.0002
poaoth,0.0042
soaoth,0.0041
