RI_name,ri_values
poagfs,0.12
soagfs,0.06
poares,0.0292
soares,0.0291
poashp,0.099
soashp,0.0003
poatrf,0.0003
soatrf,0.0002
poaoth,0.0003
soaoth,0.0002
