RI_name,ri_values
poagfs,0.0003
soagfs,0.0002
poares,0.007
soares,0.0002
poashp,0.1086
soashp,0.1081
poatrf,0.0798
soatrf,0.0517
poaoth,0.0113
soaoth,0.0033
