RI_name,ri_values
poagfs,0.0003
soagfs,0.0002
poares,0.0083
soares,0.0059
poashp,0.0003
soashp,0.0002
poatrf,0.0187
soatrf,0.0002
poaoth,0.0183
soaoth,0.0002
