RI_name,ri_values
poagfs,0.3496
soagfs,0.3452
poares,0.0061
soares,0.0002
poashp,0.4357
soashp,0.4356
poatrf,0.0469
soatrf,0.0002
poaoth,0.0015
soaoth,0.0002
