RI_name,ri_values
poagfs,0.0401
soagfs,0.005
poares,0.0581
soares,0.0425
poashp,0.0514
soashp,0.0069
poatrf,0.0011
soatrf,0.0011
poaoth,0.0011
soaoth,0.0011
