RI_name,ri_values
poagfs,0.0533
soagfs,0.0354
poares,0.0533
soares,0.0431
poashp,0.0533
soashp,0.0354
poatrf,0.0311
soatrf,0.0011
poaoth,0.0354
soaoth,0.0346
