RI_name,ri_values
poagfs,0.0244
soagfs,0.0063
poares,0.0244
soares,0.0068
poashp,0.0244
soashp,0.0243
poatrf,0.0244
soatrf,0.0244
poaoth,0.0063
soaoth,0.0011
