RI_name,ri_values
poagfs,0.1039
soagfs,0.047
poares,0.099
soares,0.043
poashp,0.0979
soashp,0.0049
poatrf,0.0011
soatrf,0.0011
poaoth,0.0011
soaoth,0.0011
