RI_name,ri_values
poagfs,0.1278
soagfs,0.0647
poares,0.0282
soares,0.0281
poashp,0.0978
soashp,0.0056
poatrf,0.0017
soatrf,0.0011
poaoth,0.0012
soaoth,0.0011
