RI_name,ri_values
poagfs,0.4785
soagfs,0.1245
poares,0.0181
soares,0.0168
poashp,0.4785
soashp,0.1604
poatrf,0.0013
soatrf,0.0011
poaoth,0.0019
soaoth,0.0018
