RI_name,ri_values
poagfs,0.4685
soagfs,0.246
poares,0.0218
soares,0.0168
poashp,0.0181
soashp,0.0049
poatrf,0.0013
soatrf,0.0011
poaoth,0.0042
soaoth,0.0041
