RI_name,ri_values
poagfs,0.137
soagfs,0.0358
poares,0.0365
soares,0.0364
poashp,0.0355
soashp,0.0354
poatrf,0.0198
soatrf,0.0011
poaoth,0.0354
soaoth,0.0027
