RI_name,ri_values
poagfs,0.0654
soagfs,0.0168
poares,0.0157
soares,0.0107
poashp,0.0374
soashp,0.0188
poatrf,0.0151
soatrf,0.0066
poaoth,0.0048
soaoth,0.0017
