RI_name,ri_values
poagfs,0.0354
soagfs,0.0034
poares,0.021
soares,0.0199
poashp,0.0354
soashp,0.0352
poatrf,0.0354
soatrf,0.0353
poaoth,0.0034
soaoth,0.0029
