RI_name,ri_values
poagfs,0.1125
soagfs,0.0294
poares,0.0079
soares,0.007
poashp,0.0574
soashp,0.0038
poatrf,0.0011
soatrf,0.0011
poaoth,0.0011
soaoth,0.0011
