RI_name,ri_values
poagfs,0.0584
soagfs,0.0046
poares,0.0584
soares,0.0199
poashp,0.0049
soashp,0.0034
poatrf,0.0012
soatrf,0.0011
poaoth,0.0034
soaoth,0.0033
