RI_name,ri_values
poagfs,0.0773
soagfs,0.0354
poares,0.0773
soares,0.0354
poashp,0.0567
soashp,0.0354
poatrf,0.0029
soatrf,0.0011
poaoth,0.0354
soaoth,0.0123
