RI_name,ri_values
poagfs,0.1604
soagfs,0.0354
poares,0.0787
soares,0.0354
poashp,0.1604
soashp,0.0354
poatrf,0.0219
soatrf,0.0011
poaoth,0.0112
soaoth,0.0112
