RI_name,ri_values
poagfs,0.0043
soagfs,0.0003
poares,0.0186
soares,0.0182
poashp,0.1748
soashp,0.133
poatrf,0.1003
soatrf,0.051
poaoth,0.0052
soaoth,0.0002
