RI_name,ri_values
poagfs,0.1242
soagfs,0.0209
poares,0.0389
soares,0.0385
poashp,0.1538
soashp,0.0182
poatrf,0.0323
soatrf,0.0319
poaoth,0.0039
soaoth,0.0035
