RI_name,ri_values
poagfs,0.1219
soagfs,0.0181
poares,0.0181
soares,0.0123
poashp,0.1604
soashp,0.016
poatrf,0.0005
soatrf,0.0005
poaoth,0.0026
soaoth,0.0026
