RI_name,ri_values
poagfs,0.1227
soagfs,0.0227
poares,0.0181
soares,0.0176
poashp,0.1541
soashp,0.0342
poatrf,0.0048
soatrf,0.0017
poaoth,0.0023
soaoth,0.0023
