RI_name,ri_values
poagfs,0.1293
soagfs,0.1117
poares,0.0677
soares,0.0562
poashp,0.0801
soashp,0.0181
poatrf,0.0212
soatrf,0.008
poaoth,0.0233
soaoth,0.0118
