RI_name,ri_values
poagfs,0.4883
soagfs,0.0181
poares,0.0281
soares,0.0435
poashp,0.0049
soashp,0.0354
poatrf,0.004
soatrf,0.0354
poaoth,0.0354
soaoth,0.0169
