RI_name,ri_values
poagfs,0.1279
soagfs,0.0011
poares,0.041
soares,0.0354
poashp,0.0939
soashp,0.0354
poatrf,0.0012
soatrf,0.0011
poaoth,0.0011
soaoth,0.0011
