RI_name,ri_values
poagfs,0.0674
soagfs,0.0012
poares,0.0228
soares,0.0039
poashp,0.0674
soashp,0.0354
poatrf,0.008
soatrf,0.0078
poaoth,0.0012
soaoth,0.0011
